이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: PPO model not found at ./ppo_MlpPolicy_models/ppo_MlpPolicy_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('/nfs/dataset/DIV2K/DIV2K_train_HR/DIV2K_train_HR/0373.png',), Episode count: 1[0m
[92mInitial PSNR: 23.639778[0m
Logging to ./ppo_MultiInputPolicy/PPO_10
Step: 0      | Time taken for 스텝 사이와 사이 (action choose time?) : 1736773724.457479 seconds
Step: 0      |Time taken for simulate : 0.014324 seconds
Step: 0      | Time taken for NumPy : 0.000201 seconds
Step: 0      | Time taken for obs : 0.000001 seconds
Step: 0      | Time taken for reward : 0.000001 seconds
Step: 1      | Time taken for rollback : 0.000014 seconds
Step: 1      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.007889 seconds
Step: 1      |Time taken for simulate : 0.012572 seconds
Step: 1      | Time taken for NumPy : 0.000185 seconds
Step: 1      | Time taken for obs : 0.000001 seconds
Step: 1      | Time taken for reward : 0.000001 seconds
Step: 2      | Time taken for rollback : 0.000012 seconds
Step: 2      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.005913 seconds
Step: 2      |Time taken for simulate : 0.013946 seconds
Step: 2      | Time taken for NumPy : 0.000302 seconds
Step: 2      | Time taken for obs : 0.000001 seconds
Step: 2      | Time taken for reward : 0.000001 seconds
Step: 3      | Time taken for rollback : 0.000032 seconds
Step: 3      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.014884 seconds
Step: 3      |Time taken for simulate : 0.005919 seconds
Step: 3      | Time taken for NumPy : 0.000192 seconds
Step: 3      | Time taken for obs : 0.000000 seconds
Step: 3      | Time taken for reward : 0.000001 seconds
Step: 4      | Time taken for rollback : 0.000013 seconds
Step: 4      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006279 seconds
Step: 4      |Time taken for simulate : 0.002578 seconds
Step: 4      | Time taken for NumPy : 0.000191 seconds
Step: 4      | Time taken for obs : 0.000001 seconds
Step: 4      | Time taken for reward : 0.000001 seconds
Step: 5      | Time taken for rollback : 0.000013 seconds
Step: 5      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.005947 seconds
Step: 5      |Time taken for simulate : 0.003054 seconds
Step: 5      | Time taken for NumPy : 0.000299 seconds
Step: 5      | Time taken for obs : 0.000000 seconds
Step: 5      | Time taken for reward : 0.000001 seconds
Step: 6      | Time taken for rollback : 0.000055 seconds
Step: 6      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006225 seconds
Step: 6      |Time taken for simulate : 0.002303 seconds
Step: 6      | Time taken for NumPy : 0.000629 seconds
Step: 6      | Time taken for obs : 0.000001 seconds
Step: 6      | Time taken for reward : 0.000001 seconds
Step: 7      | Time taken for rollback : 0.000013 seconds
Step: 7      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006088 seconds
Step: 7      |Time taken for simulate : 0.002419 seconds
Step: 7      | Time taken for NumPy : 0.000326 seconds
Step: 7      | Time taken for obs : 0.000001 seconds
Step: 7      | Time taken for reward : 0.000000 seconds
Step: 8      | Time taken for rollback : 0.000012 seconds
Step: 8      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.005548 seconds
Step: 8      |Time taken for simulate : 0.001980 seconds
Step: 8      | Time taken for NumPy : 0.000277 seconds
Step: 8      | Time taken for obs : 0.000000 seconds
Step: 8      | Time taken for reward : 0.000001 seconds
Step: 9      | Time taken for rollback : 0.000022 seconds
Step: 9      | Time taken for 스텝 사이와 사이 (action choose time?) : 0.015365 seconds
Step: 9      |Time taken for simulate : 0.004529 seconds
Step: 9      | Time taken for NumPy : 0.000202 seconds
Step: 9      | Time taken for obs : 0.000000 seconds
Step: 9      | Time taken for reward : 0.000001 seconds
Step: 10     | Time taken for print : 0.000001 seconds
Step: 10     | Time taken for terminated : 0.000002 seconds
Step: 10     | Time taken for max_steps : 0.000000 seconds
Step: 10     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.006637 seconds
Step: 10     |Time taken for simulate : 0.001986 seconds
Step: 10     | Time taken for NumPy : 0.000193 seconds
Step: 10     | Time taken for obs : 0.000000 seconds
Step: 10     | Time taken for reward : 0.000001 seconds
Step: 11     | Time taken for rollback : 0.000014 seconds
Step: 11     | Time taken for 스텝 사이와 사이 (action choose time?) : 0.008492 seconds
Step: 11     |Time taken for simulate : 0.002863 seconds
