이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: PPO model not found at ./ppo_MlpPolicy_models/ppo_MlpPolicy_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('/nfs/dataset/DIV2K/DIV2K_train_HR/DIV2K_train_HR/0547.png',), Episode count: 1[0m
[92mInitial PSNR: 22.524740[0m
Initial MSE: 0.004994[0m
Logging to ./ppo_MultiInputPolicy/PPO_18
Step: 1      | Time action: 1736843076.018562 seconds
Step: 1      | Time simulate: 0.004644 seconds
Step: 1      | Time NumPy: 0.000106 seconds
Step: 1      | Time obs: 0.000000 seconds
Step: 1      | Time reward: 0.000001 seconds
Step: 1      | Time print: 0.000000 seconds
Step: 1      | Time diff: 0.000001 seconds
Step: 1      | Time max_steps: 0.000001 seconds
Step: 1      | Time terminated: 0.000001 seconds
Step: 2      | Time action: 0.007382 seconds
Step: 2      | Time simulate: 0.002469 seconds
Step: 2      | Time NumPy: 0.000277 seconds
Step: 2      | Time obs: 0.000000 seconds
Step: 2      | Time reward: 0.000000 seconds
Step: 2      | Time rollback: 0.000012 seconds
Step: 3      | Time action: 0.005732 seconds
Step: 3      | Time simulate: 0.002125 seconds
Step: 3      | Time NumPy: 0.000237 seconds
Step: 3      | Time obs: 0.000001 seconds
Step: 3      | Time reward: 0.000001 seconds
Step: 3      | Time print: 0.000000 seconds
Step: 3      | Time diff: 0.000001 seconds
Step: 3      | Time max_steps: 0.000001 seconds
Step: 3      | Time terminated: 0.000001 seconds
Step: 4      | Time action: 0.005472 seconds
Step: 4      | Time simulate: 0.004579 seconds
Step: 4      | Time NumPy: 0.000104 seconds
Step: 4      | Time obs: 0.000001 seconds
Step: 4      | Time reward: 0.000001 seconds
Step: 4      | Time rollback: 0.000011 seconds
Step: 5      | Time action: 0.005464 seconds
Step: 5      | Time simulate: 0.002920 seconds
Step: 5      | Time NumPy: 0.000121 seconds
Step: 5      | Time obs: 0.000001 seconds
Step: 5      | Time reward: 0.000001 seconds
Step: 5      | Time rollback: 0.000016 seconds
Step: 6      | Time action: 0.005870 seconds
Step: 6      | Time simulate: 0.001804 seconds
Step: 6      | Time NumPy: 0.000110 seconds
Step: 6      | Time obs: 0.000001 seconds
Step: 6      | Time reward: 0.000001 seconds
Step: 6      | Time rollback: 0.000011 seconds
Step: 7      | Time action: 0.005286 seconds
Step: 7      | Time simulate: 0.002850 seconds
Step: 7      | Time NumPy: 0.000102 seconds
Step: 7      | Time obs: 0.000001 seconds
Step: 7      | Time reward: 0.000001 seconds
Step: 7      | Time print: 0.000000 seconds
Step: 7      | Time diff: 0.000001 seconds
Step: 7      | Time max_steps: 0.000001 seconds
Step: 7      | Time terminated: 0.000001 seconds
Step: 8      | Time action: 0.005387 seconds
Step: 8      | Time simulate: 0.002476 seconds
Step: 8      | Time NumPy: 0.000234 seconds
Step: 8      | Time obs: 0.000000 seconds
Step: 8      | Time reward: 0.000001 seconds
Step: 8      | Time print: 0.000000 seconds
Step: 8      | Time diff: 0.000001 seconds
Step: 8      | Time max_steps: 0.000000 seconds
Step: 8      | Time terminated: 0.000001 seconds
Step: 9      | Time action: 0.005768 seconds
Step: 9      | Time simulate: 0.001994 seconds
Step: 9      | Time NumPy: 0.000107 seconds
Step: 9      | Time obs: 0.000000 seconds
Step: 9      | Time reward: 0.000001 seconds
Step: 9      | Time rollback: 0.000013 seconds
Step: 10     | Time action: 0.005550 seconds
Step: 10     | Time simulate: 0.012926 seconds
Step: 10     | Time NumPy: 0.000104 seconds
Step: 10     | Time obs: 0.000000 seconds
Step: 10     | Time reward: 0.000001 seconds
Step: 10     | Time rollback: 0.000012 seconds
Step: 11     | Time action: 0.006754 seconds
Step: 11     | Time simulate: 0.012378 seconds
