이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: DQN model not found at ./dqn_multi_input_models/dqn_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('dataset1/0001.png',), Episode count: 1[0m
[92mInitial PSNR: 25.004539[0m
Initial MSE: 0.002122[0m
Logging to ./dqn_tensorboard_multi_input/DQN_6
Step: 1      | Time action: 1737527336.759816 seconds
Step: 1      | Time simulate: 0.005845 seconds
Step: 1      | Time obs: 0.000127 seconds
Step: 1      | Time reward: 0.000001 seconds
Step: 1      | Time rollback: 0.000016 seconds
Step: 2      | Time action: 0.007191 seconds
Step: 2      | Time simulate: 0.007427 seconds
Step: 2      | Time obs: 0.000246 seconds
Step: 2      | Time reward: 0.000001 seconds
Step: 2      | Time rollback: 0.000013 seconds
Step: 3      | Time action: 0.004508 seconds
Step: 3      | Time simulate: 0.006031 seconds
Step: 3      | Time obs: 0.000118 seconds
Step: 3      | Time reward: 0.000001 seconds
Step: 3      | Time print: 0.000001 seconds
Step: 3      | Time diff: 0.000001 seconds
Step: 3      | Time max_steps: 0.000001 seconds
Step: 3      | Time terminated: 0.000001 seconds
Step: 4      | Time action: 0.003668 seconds
Step: 4      | Time simulate: 0.001657 seconds
Step: 4      | Time obs: 0.000120 seconds
Step: 4      | Time reward: 0.000001 seconds
Step: 4      | Time rollback: 0.000013 seconds
Step: 5      | Time action: 0.004745 seconds
Step: 5      | Time simulate: 0.001926 seconds
Step: 5      | Time obs: 0.000138 seconds
Step: 5      | Time reward: 0.000001 seconds
Step: 5      | Time rollback: 0.000011 seconds
Step: 6      | Time action: 0.004719 seconds
Step: 6      | Time simulate: 0.001971 seconds
Step: 6      | Time obs: 0.000118 seconds
Step: 6      | Time reward: 0.000001 seconds
Step: 6      | Time print: 0.000001 seconds
Step: 6      | Time diff: 0.000001 seconds
Step: 6      | Time max_steps: 0.000001 seconds
Step: 6      | Time terminated: 0.000002 seconds
Step: 7      | Time action: 0.004474 seconds
Step: 7      | Time simulate: 0.002025 seconds
Step: 7      | Time obs: 0.000119 seconds
Step: 7      | Time reward: 0.000001 seconds
Step: 7      | Time rollback: 0.000011 seconds
Step: 8      | Time action: 0.004203 seconds
Step: 8      | Time simulate: 0.001956 seconds
Step: 8      | Time obs: 0.000127 seconds
Step: 8      | Time reward: 0.000001 seconds
Step: 8      | Time print: 0.000001 seconds
Step: 8      | Time diff: 0.000001 seconds
Step: 8      | Time max_steps: 0.000001 seconds
Step: 8      | Time terminated: 0.000001 seconds
Step: 9      | Time action: 0.004271 seconds
Step: 9      | Time simulate: 0.002244 seconds
Step: 9      | Time obs: 0.000115 seconds
Step: 9      | Time reward: 0.000001 seconds
Step: 9      | Time rollback: 0.000011 seconds
Step: 10     | Time action: 0.004152 seconds
Step: 10     | Time simulate: 0.001908 seconds
Step: 10     | Time obs: 0.000131 seconds
Step: 10     | Time reward: 0.000001 seconds
Step: 10     | Time print: 0.000001 seconds
Step: 10     | Time diff: 0.000001 seconds
Step: 10     | Time max_steps: 0.000001 seconds
Step: 10     | Time terminated: 0.000001 seconds
Step: 11     | Time action: 0.004097 seconds
Step: 11     | Time simulate: 0.002355 seconds
Step: 11     | Time obs: 0.000138 seconds
Step: 11     | Time reward: 0.000001 seconds
Step: 11     | Time rollback: 0.000013 seconds
Step: 12     | Time action: 0.003840 seconds
Step: 12     | Time simulate: 0.002189 seconds
Step: 12     | Time obs: 0.000147 seconds
Step: 12     | Time reward: 0.000001 seconds
Step: 12     | Time rollback: 0.000011 seconds
Step: 13     | Time action: 0.004358 seconds
Step: 13     | Time simulate: 0.002382 seconds
Step: 13     | Time obs: 0.000141 seconds
Step: 13     | Time reward: 0.000001 seconds
Step: 13     | Time print: 0.000001 seconds
Step: 13     | Time diff: 0.000001 seconds
Step: 13     | Time max_steps: 0.000001 seconds
Step: 13     | Time terminated: 0.000001 seconds
Step: 14     | Time action: 0.003754 seconds
Step: 14     | Time simulate: 0.002276 seconds
Step: 14     | Time obs: 0.000150 seconds
Step: 14     | Time reward: 0.000001 seconds
Step: 14     | Time print: 0.000001 seconds
Step: 14     | Time diff: 0.000001 seconds
Step: 14     | Time max_steps: 0.000001 seconds
Step: 14     | Time terminated: 0.000001 seconds
Step: 15     | Time action: 0.003946 seconds
Step: 15     | Time simulate: 0.001951 seconds
Step: 15     | Time obs: 0.000630 seconds
Step: 15     | Time reward: 0.000001 seconds
Step: 15     | Time rollback: 0.000023 seconds
Step: 16     | Time action: 0.003801 seconds
Step: 16     | Time simulate: 0.006024 seconds
Step: 16     | Time obs: 0.000116 seconds
Step: 16     | Time reward: 0.000001 seconds
Step: 16     | Time print: 0.000002 seconds
Step: 16     | Time diff: 0.000000 seconds
Step: 16     | Time max_steps: 0.000001 seconds
Step: 16     | Time terminated: 0.000001 seconds
Step: 17     | Time action: 0.003833 seconds
Step: 17     | Time simulate: 0.002325 seconds
Step: 17     | Time obs: 0.000181 seconds
Step: 17     | Time reward: 0.000001 seconds
Step: 17     | Time print: 0.000001 seconds
Step: 17     | Time diff: 0.000000 seconds
Step: 17     | Time max_steps: 0.000000 seconds
Step: 17     | Time terminated: 0.000001 seconds
Step: 18     | Time action: 0.003926 seconds
Step: 18     | Time simulate: 0.002411 seconds
Step: 18     | Time obs: 0.000179 seconds
Step: 18     | Time reward: 0.000001 seconds
Step: 18     | Time rollback: 0.000013 seconds
Step: 19     | Time action: 0.003928 seconds
Step: 19     | Time simulate: 0.002376 seconds
Step: 19     | Time obs: 0.000137 seconds
Step: 19     | Time reward: 0.000001 seconds
Step: 19     | Time rollback: 0.000018 seconds
Step: 20     | Time action: 0.003833 seconds
Step: 20     | Time simulate: 0.002069 seconds
Step: 20     | Time obs: 0.000185 seconds
Step: 20     | Time reward: 0.000001 seconds
Step: 20     | Time rollback: 0.000011 seconds
Step: 21     | Time action: 0.003839 seconds
Step: 21     | Time simulate: 0.001825 seconds
Step: 21     | Time obs: 0.000535 seconds
Step: 21     | Time reward: 0.000001 seconds
Step: 21     | Time rollback: 0.000287 seconds
Step: 22     | Time action: 0.004211 seconds
Step: 22     | Time simulate: 0.001897 seconds
Step: 22     | Time obs: 0.000134 seconds
Step: 22     | Time reward: 0.000001 seconds
Step: 22     | Time rollback: 0.000012 seconds
Step: 23     | Time action: 0.003862 seconds
Step: 23     | Time simulate: 0.002035 seconds
Step: 23     | Time obs: 0.000293 seconds
Step: 23     | Time reward: 0.000002 seconds
Step: 23     | Time rollback: 0.000242 seconds
Step: 24     | Time action: 0.004254 seconds
Step: 24     | Time simulate: 0.001822 seconds
Step: 24     | Time obs: 0.000370 seconds
Step: 24     | Time reward: 0.000001 seconds
Step: 24     | Time print: 0.000001 seconds
Step: 24     | Time diff: 0.000002 seconds
Step: 24     | Time max_steps: 0.000001 seconds
Step: 24     | Time terminated: 0.000001 seconds
Step: 25     | Time action: 0.004010 seconds
Step: 25     | Time simulate: 0.001819 seconds
Step: 25     | Time obs: 0.000376 seconds
Step: 25     | Time reward: 0.000001 seconds
Step: 25     | Time rollback: 0.000216 seconds
Step: 26     | Time action: 0.003952 seconds
Step: 26     | Time simulate: 0.004494 seconds
Step: 26     | Time obs: 0.000197 seconds
Step: 26     | Time reward: 0.000001 seconds
Step: 26     | Time rollback: 0.000021 seconds
Step: 27     | Time action: 0.004036 seconds
Step: 27     | Time simulate: 0.002055 seconds
Step: 27     | Time obs: 0.000497 seconds
Step: 27     | Time reward: 0.000001 seconds
Step: 27     | Time rollback: 0.000011 seconds
Step: 28     | Time action: 0.003666 seconds
Step: 28     | Time simulate: 0.001854 seconds
Step: 28     | Time obs: 0.000313 seconds
Step: 28     | Time reward: 0.000001 seconds
Step: 28     | Time rollback: 0.000266 seconds
Step: 29     | Time action: 0.004359 seconds
Step: 29     | Time simulate: 0.001929 seconds
Step: 29     | Time obs: 0.000126 seconds
Step: 29     | Time reward: 0.000001 seconds
Step: 29     | Time rollback: 0.000011 seconds
Step: 30     | Time action: 0.004612 seconds
Step: 30     | Time simulate: 0.005737 seconds
Step: 30     | Time obs: 0.000129 seconds
Step: 30     | Time reward: 0.000001 seconds
Step: 30     | Time rollback: 0.000027 seconds
Step: 31     | Time action: 0.003874 seconds
Step: 31     | Time simulate: 0.002507 seconds
Step: 31     | Time obs: 0.000157 seconds
Step: 31     | Time reward: 0.000001 seconds
Step: 31     | Time rollback: 0.000013 seconds
Step: 32     | Time action: 0.003754 seconds
Step: 32     | Time simulate: 0.002051 seconds
Step: 32     | Time obs: 0.000149 seconds
Step: 32     | Time reward: 0.000001 seconds
Step: 32     | Time rollback: 0.000232 seconds
Step: 33     | Time action: 0.004298 seconds
Step: 33     | Time simulate: 0.002370 seconds
Step: 33     | Time obs: 0.000127 seconds
Step: 33     | Time reward: 0.000001 seconds
Step: 33     | Time print: 0.000001 seconds
Step: 33     | Time diff: 0.000001 seconds
Step: 33     | Time max_steps: 0.000001 seconds
Step: 33     | Time terminated: 0.000001 seconds
